Campaign,Callout text,Status
forgespace_br_en_visibility_v3,Open Source,Enabled
forgespace_br_en_visibility_v3,MIT Licensed,Enabled
forgespace_br_en_visibility_v3,Backstage Alternative,Enabled
forgespace_br_en_visibility_v3,No Platform Team Required,Enabled
forgespace_br_en_visibility_v3,Self-Hosted Ready,Enabled
forgespace_br_en_visibility_v3,Free for Individuals,Enabled
forgespace_br_en_visibility_v3,AI Governance Built In,Enabled
forgespace_br_en_visibility_v3,Scorecards & Audit Trails,Enabled
