Campaign,Sitelink text,Description line 1,Description line 2,Final URL,Status
forgespace_br_en_visibility_v3,See All Features,10 platform capabilities,AI governance to golden paths,https://forgespace.co/features?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3&utm_content=sitelink_features,Enabled
forgespace_br_en_visibility_v3,Explore Ecosystem,Browse active repositories,Live GitHub metadata,https://forgespace.co/ecosystem?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3&utm_content=sitelink_ecosystem,Enabled
forgespace_br_en_visibility_v3,View Pricing,Free for individuals,Team and enterprise plans,https://forgespace.co/pricing?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3&utm_content=sitelink_pricing,Enabled
forgespace_br_en_visibility_v3,Public Roadmap,See what shipped recently,Track what comes next,https://forgespace.co/roadmap?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3&utm_content=sitelink_roadmap,Enabled
forgespace_br_en_visibility_v3,For Startups,Free for teams under 15 devs,No platform engineer needed,https://forgespace.co/startups?utm_source=google&utm_medium=cpc&utm_campaign=forgespace_br_en_visibility_v3&utm_content=sitelink_startups,Enabled
